location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Central School, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,4,µg/m³,26.8821003,80.9302753,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sector - 62, Noida, UP - IMD",Noida,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,16,µg/m³,28.6245479,77.3577104,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sector - 62, Noida, UP - IMD",Noida,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,48000,µg/m³,28.6245479,77.3577104,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central School, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,45,µg/m³,26.8821003,80.9302753,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nishant Ganj, Lucknow - UPPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,148,µg/m³,26.871428,80.957145,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,101,µg/m³,17.4559458,78.4332152,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,42,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,101,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nishant Ganj, Lucknow - UPPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,25,µg/m³,26.871428,80.957145,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,39000,µg/m³,23.5404352,87.2892225,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
